source_row,track,album,artist,genre,prompt_1,prompt_2,prompt_3,prompt_4,prompt_5,prompt_chain
29,Pictures of You,Disintegration,The Cure,Gothic Rock,"The Cure inside a dark floral blur, pale green face, black shadows, muted red title, gothic dream-photography style","The Cure drifting through the same faded flowers, smoky whites and blue-gray blacks, half-seen eyes, melancholy nocturnal mood","The Cure surrounded by soft ghost petals, desaturated green skin tones, deep black background, smeared romantic-goth texture","The Cure watching the portrait dissolve into flowers, gray mist, small red lettering, haunted analog album atmosphere","The Cure ending as a blurred face in darkness, pale blossoms, black-green haze, sorrowful gothic cover finish","The Cure inside a dark floral blur, pale green face, black shadows, muted red title, gothic dream-photography style || The Cure drifting through the same faded flowers, smoky whites and blue-gray blacks, half-seen eyes, melancholy nocturnal mood || The Cure surrounded by soft ghost petals, desaturated green skin tones, deep black background, smeared romantic-goth texture || The Cure watching the portrait dissolve into flowers, gray mist, small red lettering, haunted analog album atmosphere || The Cure ending as a blurred face in darkness, pale blossoms, black-green haze, sorrowful gothic cover finish"
30,There Is a Light That Never Goes Out,The Queen Is Dead,The Smiths,Indie Rock,"The Smiths in a green-tinted film still, reclining figure, pale hands, dusty texture, soft pink type, melancholic indie style","The Smiths moving through the same faded cinema frame, deep forest green shadows, ghostly skin, rose lettering, vintage sorrow","The Smiths beside a still body under dim light, muted emerald palette, grainy surface, elegant tragic cover photography","The Smiths watching the frame darken, pale face and hands fading, pink serif title, old-film romantic gloom","The Smiths ending in smoky green monochrome, reclining figure almost lost, soft pink typography, mournful indie-album finish","The Smiths in a green-tinted film still, reclining figure, pale hands, dusty texture, soft pink type, melancholic indie style || The Smiths moving through the same faded cinema frame, deep forest green shadows, ghostly skin, rose lettering, vintage sorrow || The Smiths beside a still body under dim light, muted emerald palette, grainy surface, elegant tragic cover photography || The Smiths watching the frame darken, pale face and hands fading, pink serif title, old-film romantic gloom || The Smiths ending in smoky green monochrome, reclining figure almost lost, soft pink typography, mournful indie-album finish"
31,The Queen Is Dead,The Queen Is Dead,The Smiths,Indie Rock,"The Smiths in a green-tinted film still, reclining figure, pale hands, dusty texture, soft pink type, melancholic indie style","The Smiths moving through the same faded cinema frame, deep forest green shadows, ghostly skin, rose lettering, vintage sorrow","The Smiths beside a still body under dim light, muted emerald palette, grainy surface, elegant tragic cover photography","The Smiths watching the frame darken, pale face and hands fading, pink serif title, old-film romantic gloom","The Smiths ending in smoky green monochrome, reclining figure almost lost, soft pink typography, mournful indie-album finish","The Smiths in a green-tinted film still, reclining figure, pale hands, dusty texture, soft pink type, melancholic indie style || The Smiths moving through the same faded cinema frame, deep forest green shadows, ghostly skin, rose lettering, vintage sorrow || The Smiths beside a still body under dim light, muted emerald palette, grainy surface, elegant tragic cover photography || The Smiths watching the frame darken, pale face and hands fading, pink serif title, old-film romantic gloom || The Smiths ending in smoky green monochrome, reclining figure almost lost, soft pink typography, mournful indie-album finish"
32,Debaser,Doolittle,Pixies,Alt Rock,"Pixies around a saintly monkey in a wire grid, rusty brown and teal textures, white geometry, surreal college-rock collage","Pixies following the same numbered grid, faded animal photo, distressed copper background, chalky lines, cryptic graphic mood","Pixies inside a weathered laboratory poster, haloed primate, pale geometry, rust and sea-green palette, strange scientific style","Pixies watching the grid crack into numbers, brown stains, off-white scratches, animal silhouette, abrasive surreal album atmosphere","Pixies ending in a distressed teal-rust collage, monkey halo centered, numbered forms, noisy alternative-rock cover finish","Pixies around a saintly monkey in a wire grid, rusty brown and teal textures, white geometry, surreal college-rock collage || Pixies following the same numbered grid, faded animal photo, distressed copper background, chalky lines, cryptic graphic mood || Pixies inside a weathered laboratory poster, haloed primate, pale geometry, rust and sea-green palette, strange scientific style || Pixies watching the grid crack into numbers, brown stains, off-white scratches, animal silhouette, abrasive surreal album atmosphere || Pixies ending in a distressed teal-rust collage, monkey halo centered, numbered forms, noisy alternative-rock cover finish"
33,Here Comes Your Man,Doolittle,Pixies,Alt Rock,"Pixies around a saintly monkey in a wire grid, rusty brown and teal textures, white geometry, surreal college-rock collage","Pixies following the same numbered grid, faded animal photo, distressed copper background, chalky lines, cryptic graphic mood","Pixies inside a weathered laboratory poster, haloed primate, pale geometry, rust and sea-green palette, strange scientific style","Pixies watching the grid crack into numbers, brown stains, off-white scratches, animal silhouette, abrasive surreal album atmosphere","Pixies ending in a distressed teal-rust collage, monkey halo centered, numbered forms, noisy alternative-rock cover finish","Pixies around a saintly monkey in a wire grid, rusty brown and teal textures, white geometry, surreal college-rock collage || Pixies following the same numbered grid, faded animal photo, distressed copper background, chalky lines, cryptic graphic mood || Pixies inside a weathered laboratory poster, haloed primate, pale geometry, rust and sea-green palette, strange scientific style || Pixies watching the grid crack into numbers, brown stains, off-white scratches, animal silhouette, abrasive surreal album atmosphere || Pixies ending in a distressed teal-rust collage, monkey halo centered, numbered forms, noisy alternative-rock cover finish"
34,Around the World,Homework,Daft Punk,Electronic,"Daft Punk on black satin with a red embroidered logo patch, gold thread outline, tactile streetwear texture, raw electronic style","Daft Punk following the same stitched letters across dark fabric, crimson thread, soft shadows, handmade club-culture album mood","Daft Punk inside a close-up textile logo, black cloth ripples, red script, tan border, minimal 1990s dance design","Daft Punk watching the patch catch low light, black-blue folds, rough red embroidery, underground electronic cover atmosphere","Daft Punk ending on the worn fabric emblem, red and gold over black, simple texture, gritty house-music finish","Daft Punk on black satin with a red embroidered logo patch, gold thread outline, tactile streetwear texture, raw electronic style || Daft Punk following the same stitched letters across dark fabric, crimson thread, soft shadows, handmade club-culture album mood || Daft Punk inside a close-up textile logo, black cloth ripples, red script, tan border, minimal 1990s dance design || Daft Punk watching the patch catch low light, black-blue folds, rough red embroidery, underground electronic cover atmosphere || Daft Punk ending on the worn fabric emblem, red and gold over black, simple texture, gritty house-music finish"
35,Da Funk,Homework,Daft Punk,Electronic,"Daft Punk on black satin with a red embroidered logo patch, gold thread outline, tactile streetwear texture, raw electronic style","Daft Punk following the same stitched letters across dark fabric, crimson thread, soft shadows, handmade club-culture album mood","Daft Punk inside a close-up textile logo, black cloth ripples, red script, tan border, minimal 1990s dance design","Daft Punk watching the patch catch low light, black-blue folds, rough red embroidery, underground electronic cover atmosphere","Daft Punk ending on the worn fabric emblem, red and gold over black, simple texture, gritty house-music finish","Daft Punk on black satin with a red embroidered logo patch, gold thread outline, tactile streetwear texture, raw electronic style || Daft Punk following the same stitched letters across dark fabric, crimson thread, soft shadows, handmade club-culture album mood || Daft Punk inside a close-up textile logo, black cloth ripples, red script, tan border, minimal 1990s dance design || Daft Punk watching the patch catch low light, black-blue folds, rough red embroidery, underground electronic cover atmosphere || Daft Punk ending on the worn fabric emblem, red and gold over black, simple texture, gritty house-music finish"
36,One More Time,Discovery,Daft Punk,Electronic,"Daft Punk in chrome lettering on black liquid, silver reflections, tiny rainbow highlights, glossy futuristic electronic cover style","Daft Punk following the same metallic logo as it melts, black background, prismatic edges, polished 2000s digital mood","Daft Punk inside a dark reflective surface, silver script rising like liquid metal, small colored lights, sleek sci-fi design","Daft Punk watching chrome letters glow with green yellow violet edges, deep black space, minimal robotic album atmosphere","Daft Punk ending on a luminous silver emblem, black mirror floor, rainbow pinlights, clean retro-futurist dance finish","Daft Punk in chrome lettering on black liquid, silver reflections, tiny rainbow highlights, glossy futuristic electronic cover style || Daft Punk following the same metallic logo as it melts, black background, prismatic edges, polished 2000s digital mood || Daft Punk inside a dark reflective surface, silver script rising like liquid metal, small colored lights, sleek sci-fi design || Daft Punk watching chrome letters glow with green yellow violet edges, deep black space, minimal robotic album atmosphere || Daft Punk ending on a luminous silver emblem, black mirror floor, rainbow pinlights, clean retro-futurist dance finish"
37,Harder Better Faster Stronger,Discovery,Daft Punk,Electronic,"Daft Punk in chrome lettering on black liquid, silver reflections, tiny rainbow highlights, glossy futuristic electronic cover style","Daft Punk following the same metallic logo as it melts, black background, prismatic edges, polished 2000s digital mood","Daft Punk inside a dark reflective surface, silver script rising like liquid metal, small colored lights, sleek sci-fi design","Daft Punk watching chrome letters glow with green yellow violet edges, deep black space, minimal robotic album atmosphere","Daft Punk ending on a luminous silver emblem, black mirror floor, rainbow pinlights, clean retro-futurist dance finish","Daft Punk in chrome lettering on black liquid, silver reflections, tiny rainbow highlights, glossy futuristic electronic cover style || Daft Punk following the same metallic logo as it melts, black background, prismatic edges, polished 2000s digital mood || Daft Punk inside a dark reflective surface, silver script rising like liquid metal, small colored lights, sleek sci-fi design || Daft Punk watching chrome letters glow with green yellow violet edges, deep black space, minimal robotic album atmosphere || Daft Punk ending on a luminous silver emblem, black mirror floor, rainbow pinlights, clean retro-futurist dance finish"
38,Block Rockin' Beats,Dig Your Own Hole,The Chemical Brothers,Electronic,"The Chemical Brothers in stark black-and-white profile, long hair silhouette, rough brush texture, handwritten logo, gritty big-beat style","The Chemical Brothers following the same side portrait into darkness, white face edge, black void, scratched ink texture, underground mood","The Chemical Brothers beside a blown-out profile cutout, monochrome palette, rough graphic strokes, low-fi club poster design","The Chemical Brothers watching hair lines dissolve into black, white contour face, small chalk logo, raw kinetic cover atmosphere","The Chemical Brothers ending in a high-contrast silhouette, black field, white scratches, handwritten type, hard-edged electronic finish","The Chemical Brothers in stark black-and-white profile, long hair silhouette, rough brush texture, handwritten logo, gritty big-beat style || The Chemical Brothers following the same side portrait into darkness, white face edge, black void, scratched ink texture, underground mood || The Chemical Brothers beside a blown-out profile cutout, monochrome palette, rough graphic strokes, low-fi club poster design || The Chemical Brothers watching hair lines dissolve into black, white contour face, small chalk logo, raw kinetic cover atmosphere || The Chemical Brothers ending in a high-contrast silhouette, black field, white scratches, handwritten type, hard-edged electronic finish"
39,Setting Sun,Dig Your Own Hole,The Chemical Brothers,Electronic,"The Chemical Brothers in stark black-and-white profile, long hair silhouette, rough brush texture, handwritten logo, gritty big-beat style","The Chemical Brothers following the same side portrait into darkness, white face edge, black void, scratched ink texture, underground mood","The Chemical Brothers beside a blown-out profile cutout, monochrome palette, rough graphic strokes, low-fi club poster design","The Chemical Brothers watching hair lines dissolve into black, white contour face, small chalk logo, raw kinetic cover atmosphere","The Chemical Brothers ending in a high-contrast silhouette, black field, white scratches, handwritten type, hard-edged electronic finish","The Chemical Brothers in stark black-and-white profile, long hair silhouette, rough brush texture, handwritten logo, gritty big-beat style || The Chemical Brothers following the same side portrait into darkness, white face edge, black void, scratched ink texture, underground mood || The Chemical Brothers beside a blown-out profile cutout, monochrome palette, rough graphic strokes, low-fi club poster design || The Chemical Brothers watching hair lines dissolve into black, white contour face, small chalk logo, raw kinetic cover atmosphere || The Chemical Brothers ending in a high-contrast silhouette, black field, white scratches, handwritten type, hard-edged electronic finish"
40,Teardrop,Mezzanine,Massive Attack,Trip-Hop,"Massive Attack under a giant black insect silhouette, white background, sharp legs, bold block text, clinical trip-hop minimalism","Massive Attack following the same beetle form across pale space, glossy black shell, white negative field, tense microscopic mood","Massive Attack inside an extreme macro insect study, black-and-white contrast, hard typography, sterile nocturnal cover style","Massive Attack watching the insect shadow stretch beyond frame, ivory white field, black details, ominous urban atmosphere","Massive Attack ending on the black beetle icon, white void, heavy type, sharp biological geometry, cold trip-hop finish","Massive Attack under a giant black insect silhouette, white background, sharp legs, bold block text, clinical trip-hop minimalism || Massive Attack following the same beetle form across pale space, glossy black shell, white negative field, tense microscopic mood || Massive Attack inside an extreme macro insect study, black-and-white contrast, hard typography, sterile nocturnal cover style || Massive Attack watching the insect shadow stretch beyond frame, ivory white field, black details, ominous urban atmosphere || Massive Attack ending on the black beetle icon, white void, heavy type, sharp biological geometry, cold trip-hop finish"
41,Angel,Mezzanine,Massive Attack,Trip-Hop,"Massive Attack under a giant black insect silhouette, white background, sharp legs, bold block text, clinical trip-hop minimalism","Massive Attack following the same beetle form across pale space, glossy black shell, white negative field, tense microscopic mood","Massive Attack inside an extreme macro insect study, black-and-white contrast, hard typography, sterile nocturnal cover style","Massive Attack watching the insect shadow stretch beyond frame, ivory white field, black details, ominous urban atmosphere","Massive Attack ending on the black beetle icon, white void, heavy type, sharp biological geometry, cold trip-hop finish","Massive Attack under a giant black insect silhouette, white background, sharp legs, bold block text, clinical trip-hop minimalism || Massive Attack following the same beetle form across pale space, glossy black shell, white negative field, tense microscopic mood || Massive Attack inside an extreme macro insect study, black-and-white contrast, hard typography, sterile nocturnal cover style || Massive Attack watching the insect shadow stretch beyond frame, ivory white field, black details, ominous urban atmosphere || Massive Attack ending on the black beetle icon, white void, heavy type, sharp biological geometry, cold trip-hop finish"
42,Glory Box,Dummy,Portishead,Trip-Hop,"Portishead in a deep blue frame with a seated figure, cold spotlights, VHS grain, white typography, noir trip-hop style","Portishead moving through the same blue-lit room, blurred chair, smoky lamps, dark rectangular crop, cinematic suspense mood","Portishead beside a lonely figure under harsh light, navy border, pale blue glow, low-resolution film-still texture","Portishead watching the stage lights flare, blue shadows, distant seated body, outlined title, vintage noir album atmosphere","Portishead ending in a midnight-blue film frame, ghostly figure, white type, heavy shadow, elegant trip-hop finish","Portishead in a deep blue frame with a seated figure, cold spotlights, VHS grain, white typography, noir trip-hop style || Portishead moving through the same blue-lit room, blurred chair, smoky lamps, dark rectangular crop, cinematic suspense mood || Portishead beside a lonely figure under harsh light, navy border, pale blue glow, low-resolution film-still texture || Portishead watching the stage lights flare, blue shadows, distant seated body, outlined title, vintage noir album atmosphere || Portishead ending in a midnight-blue film frame, ghostly figure, white type, heavy shadow, elegant trip-hop finish"
43,Sour Times,Dummy,Portishead,Trip-Hop,"Portishead in a deep blue frame with a seated figure, cold spotlights, VHS grain, white typography, noir trip-hop style","Portishead moving through the same blue-lit room, blurred chair, smoky lamps, dark rectangular crop, cinematic suspense mood","Portishead beside a lonely figure under harsh light, navy border, pale blue glow, low-resolution film-still texture","Portishead watching the stage lights flare, blue shadows, distant seated body, outlined title, vintage noir album atmosphere","Portishead ending in a midnight-blue film frame, ghostly figure, white type, heavy shadow, elegant trip-hop finish","Portishead in a deep blue frame with a seated figure, cold spotlights, VHS grain, white typography, noir trip-hop style || Portishead moving through the same blue-lit room, blurred chair, smoky lamps, dark rectangular crop, cinematic suspense mood || Portishead beside a lonely figure under harsh light, navy border, pale blue glow, low-resolution film-still texture || Portishead watching the stage lights flare, blue shadows, distant seated body, outlined title, vintage noir album atmosphere || Portishead ending in a midnight-blue film frame, ghostly figure, white type, heavy shadow, elegant trip-hop finish"
44,Breathe,The Fat of the Land,The Prodigy,Big Beat,"The Prodigy chasing a red-orange crab across blue sand, motion blur, white surf streaks, energetic big-beat cover style","The Prodigy following the same crab as it lunges forward, turquoise beach haze, radial blur, glossy claws, frantic motion","The Prodigy inside a fast seaside macro shot, orange shell, aqua sky, black logo badge, explosive 1990s design","The Prodigy watching sand and water streak outward, crab centered, blue-green palette, speed-rush photographic mood","The Prodigy ending with a sharp crab silhouette in blur, red claws, pale surf, kinetic electronic album finish","The Prodigy chasing a red-orange crab across blue sand, motion blur, white surf streaks, energetic big-beat cover style || The Prodigy following the same crab as it lunges forward, turquoise beach haze, radial blur, glossy claws, frantic motion || The Prodigy inside a fast seaside macro shot, orange shell, aqua sky, black logo badge, explosive 1990s design || The Prodigy watching sand and water streak outward, crab centered, blue-green palette, speed-rush photographic mood || The Prodigy ending with a sharp crab silhouette in blur, red claws, pale surf, kinetic electronic album finish"
45,Firestarter,The Fat of the Land,The Prodigy,Big Beat,"The Prodigy chasing a red-orange crab across blue sand, motion blur, white surf streaks, energetic big-beat cover style","The Prodigy following the same crab as it lunges forward, turquoise beach haze, radial blur, glossy claws, frantic motion","The Prodigy inside a fast seaside macro shot, orange shell, aqua sky, black logo badge, explosive 1990s design","The Prodigy watching sand and water streak outward, crab centered, blue-green palette, speed-rush photographic mood","The Prodigy ending with a sharp crab silhouette in blur, red claws, pale surf, kinetic electronic album finish","The Prodigy chasing a red-orange crab across blue sand, motion blur, white surf streaks, energetic big-beat cover style || The Prodigy following the same crab as it lunges forward, turquoise beach haze, radial blur, glossy claws, frantic motion || The Prodigy inside a fast seaside macro shot, orange shell, aqua sky, black logo badge, explosive 1990s design || The Prodigy watching sand and water streak outward, crab centered, blue-green palette, speed-rush photographic mood || The Prodigy ending with a sharp crab silhouette in blur, red claws, pale surf, kinetic electronic album finish"
46,Hurt,The Downward Spiral,Nine Inch Nails,Industrial Rock,"Nine Inch Nails on cracked cream canvas, rust-red stains, dark debris and wire, distressed industrial mixed-media style","Nine Inch Nails following the same corroded marks downward, beige plaster, brown fragments, red smears, decayed laboratory mood","Nine Inch Nails inside a damaged wall texture, oxidized streaks, bone-white surface, black residue, brutal abstract cover design","Nine Inch Nails watching the stains spread across cracked paint, raw ocher and blood-red tones, sparse industrial atmosphere","Nine Inch Nails ending in scarred beige minimalism, rust drips, wire scratches, dead organic fragments, abrasive industrial finish","Nine Inch Nails on cracked cream canvas, rust-red stains, dark debris and wire, distressed industrial mixed-media style || Nine Inch Nails following the same corroded marks downward, beige plaster, brown fragments, red smears, decayed laboratory mood || Nine Inch Nails inside a damaged wall texture, oxidized streaks, bone-white surface, black residue, brutal abstract cover design || Nine Inch Nails watching the stains spread across cracked paint, raw ocher and blood-red tones, sparse industrial atmosphere || Nine Inch Nails ending in scarred beige minimalism, rust drips, wire scratches, dead organic fragments, abrasive industrial finish"
47,Closer,The Downward Spiral,Nine Inch Nails,Industrial Rock,"Nine Inch Nails on cracked cream canvas, rust-red stains, dark debris and wire, distressed industrial mixed-media style","Nine Inch Nails following the same corroded marks downward, beige plaster, brown fragments, red smears, decayed laboratory mood","Nine Inch Nails inside a damaged wall texture, oxidized streaks, bone-white surface, black residue, brutal abstract cover design","Nine Inch Nails watching the stains spread across cracked paint, raw ocher and blood-red tones, sparse industrial atmosphere","Nine Inch Nails ending in scarred beige minimalism, rust drips, wire scratches, dead organic fragments, abrasive industrial finish","Nine Inch Nails on cracked cream canvas, rust-red stains, dark debris and wire, distressed industrial mixed-media style || Nine Inch Nails following the same corroded marks downward, beige plaster, brown fragments, red smears, decayed laboratory mood || Nine Inch Nails inside a damaged wall texture, oxidized streaks, bone-white surface, black residue, brutal abstract cover design || Nine Inch Nails watching the stains spread across cracked paint, raw ocher and blood-red tones, sparse industrial atmosphere || Nine Inch Nails ending in scarred beige minimalism, rust drips, wire scratches, dead organic fragments, abrasive industrial finish"
48,Last Nite,Is This It,The Strokes,Indie Rock,"The Strokes over an orange-and-turquoise particle map, thin blue traces, scientific abstraction, small white type, indie-rock cool","The Strokes following the same neon pathways across amber space, teal curls and scratches, cropped diagram style, urban curiosity","The Strokes inside a microscopic city of blue lines, warm orange field, speckled grain, detached early-2000s design","The Strokes watching the track lines spiral outward, cyan geometry over burnt orange, minimal typography, restless downtown mood","The Strokes ending in a cropped scientific pattern, orange glow, turquoise filaments, clean indie-album finish","The Strokes over an orange-and-turquoise particle map, thin blue traces, scientific abstraction, small white type, indie-rock cool || The Strokes following the same neon pathways across amber space, teal curls and scratches, cropped diagram style, urban curiosity || The Strokes inside a microscopic city of blue lines, warm orange field, speckled grain, detached early-2000s design || The Strokes watching the track lines spiral outward, cyan geometry over burnt orange, minimal typography, restless downtown mood || The Strokes ending in a cropped scientific pattern, orange glow, turquoise filaments, clean indie-album finish"
49,Someday,Is This It,The Strokes,Indie Rock,"The Strokes over an orange-and-turquoise particle map, thin blue traces, scientific abstraction, small white type, indie-rock cool","The Strokes following the same neon pathways across amber space, teal curls and scratches, cropped diagram style, urban curiosity","The Strokes inside a microscopic city of blue lines, warm orange field, speckled grain, detached early-2000s design","The Strokes watching the track lines spiral outward, cyan geometry over burnt orange, minimal typography, restless downtown mood","The Strokes ending in a cropped scientific pattern, orange glow, turquoise filaments, clean indie-album finish","The Strokes over an orange-and-turquoise particle map, thin blue traces, scientific abstraction, small white type, indie-rock cool || The Strokes following the same neon pathways across amber space, teal curls and scratches, cropped diagram style, urban curiosity || The Strokes inside a microscopic city of blue lines, warm orange field, speckled grain, detached early-2000s design || The Strokes watching the track lines spiral outward, cyan geometry over burnt orange, minimal typography, restless downtown mood || The Strokes ending in a cropped scientific pattern, orange glow, turquoise filaments, clean indie-album finish"
50,Seven Nation Army,Elephant,The White Stripes,Garage Rock,"The White Stripes in a red studio room, black dress, red suit, white props, theatrical garage-rock photography","The White Stripes continuing the same stage tableau, red walls and floor, hanging light, black trunk, stark white accents","The White Stripes beside a vintage chest in saturated scarlet space, black shadows, white cane, surreal retro portrait style","The White Stripes watching the red room become a stage, high contrast outfits, scattered pale objects, tense minimal drama","The White Stripes ending in bold red-black-white composition, seated figures, studio shadows, iconic garage-rock cover finish","The White Stripes in a red studio room, black dress, red suit, white props, theatrical garage-rock photography || The White Stripes continuing the same stage tableau, red walls and floor, hanging light, black trunk, stark white accents || The White Stripes beside a vintage chest in saturated scarlet space, black shadows, white cane, surreal retro portrait style || The White Stripes watching the red room become a stage, high contrast outfits, scattered pale objects, tense minimal drama || The White Stripes ending in bold red-black-white composition, seated figures, studio shadows, iconic garage-rock cover finish"
51,Black Math,Elephant,The White Stripes,Garage Rock,"The White Stripes in a red studio room, black dress, red suit, white props, theatrical garage-rock photography","The White Stripes continuing the same stage tableau, red walls and floor, hanging light, black trunk, stark white accents","The White Stripes beside a vintage chest in saturated scarlet space, black shadows, white cane, surreal retro portrait style","The White Stripes watching the red room become a stage, high contrast outfits, scattered pale objects, tense minimal drama","The White Stripes ending in bold red-black-white composition, seated figures, studio shadows, iconic garage-rock cover finish","The White Stripes in a red studio room, black dress, red suit, white props, theatrical garage-rock photography || The White Stripes continuing the same stage tableau, red walls and floor, hanging light, black trunk, stark white accents || The White Stripes beside a vintage chest in saturated scarlet space, black shadows, white cane, surreal retro portrait style || The White Stripes watching the red room become a stage, high contrast outfits, scattered pale objects, tense minimal drama || The White Stripes ending in bold red-black-white composition, seated figures, studio shadows, iconic garage-rock cover finish"
52,Do I Wanna Know?,AM,Arctic Monkeys,Indie Rock,"Arctic Monkeys in a black field with a white waveform, minimal monochrome palette, clean vector rhythm, nocturnal indie-rock style","Arctic Monkeys following the same waveform as it swells, black negative space, white oscillations, sharp modern graphic mood","Arctic Monkeys inside a silent audio display, single white wave across darkness, balanced symmetry, sleek late-night design","Arctic Monkeys watching the line pulse like a signal, pure black background, crisp white curves, restrained electronic-rock atmosphere","Arctic Monkeys ending on a centered waveform, monochrome contrast, empty space, polished modern album finish","Arctic Monkeys in a black field with a white waveform, minimal monochrome palette, clean vector rhythm, nocturnal indie-rock style || Arctic Monkeys following the same waveform as it swells, black negative space, white oscillations, sharp modern graphic mood || Arctic Monkeys inside a silent audio display, single white wave across darkness, balanced symmetry, sleek late-night design || Arctic Monkeys watching the line pulse like a signal, pure black background, crisp white curves, restrained electronic-rock atmosphere || Arctic Monkeys ending on a centered waveform, monochrome contrast, empty space, polished modern album finish"
53,R U Mine?,AM,Arctic Monkeys,Indie Rock,"Arctic Monkeys in a black field with a white waveform, minimal monochrome palette, clean vector rhythm, nocturnal indie-rock style","Arctic Monkeys following the same waveform as it swells, black negative space, white oscillations, sharp modern graphic mood","Arctic Monkeys inside a silent audio display, single white wave across darkness, balanced symmetry, sleek late-night design","Arctic Monkeys watching the line pulse like a signal, pure black background, crisp white curves, restrained electronic-rock atmosphere","Arctic Monkeys ending on a centered waveform, monochrome contrast, empty space, polished modern album finish","Arctic Monkeys in a black field with a white waveform, minimal monochrome palette, clean vector rhythm, nocturnal indie-rock style || Arctic Monkeys following the same waveform as it swells, black negative space, white oscillations, sharp modern graphic mood || Arctic Monkeys inside a silent audio display, single white wave across darkness, balanced symmetry, sleek late-night design || Arctic Monkeys watching the line pulse like a signal, pure black background, crisp white curves, restrained electronic-rock atmosphere || Arctic Monkeys ending on a centered waveform, monochrome contrast, empty space, polished modern album finish"
54,Obstacle 1,Turn on the Bright Lights,Interpol,Post-Punk Revival,"Interpol facing a black room with a glowing red marquee, small white lights, sparse typography, nocturnal post-punk design","Interpol moving toward the same red-lit panel, black void around it, blurred lamps, minimal cinematic nightclub mood","Interpol inside a dark theater entrance, red rectangle radiating softly, white text in the corner, severe graphic style","Interpol watching the bright lights flatten into color, black space, red glow, quiet architectural tension","Interpol ending with a red stage panel in darkness, tiny bulbs, clean white type, moody post-punk finish","Interpol facing a black room with a glowing red marquee, small white lights, sparse typography, nocturnal post-punk design || Interpol moving toward the same red-lit panel, black void around it, blurred lamps, minimal cinematic nightclub mood || Interpol inside a dark theater entrance, red rectangle radiating softly, white text in the corner, severe graphic style || Interpol watching the bright lights flatten into color, black space, red glow, quiet architectural tension || Interpol ending with a red stage panel in darkness, tiny bulbs, clean white type, moody post-punk finish"
55,Stella Was a Diver…,Turn on the Bright Lights,Interpol,Post-Punk Revival,"Interpol facing a black room with a glowing red marquee, small white lights, sparse typography, nocturnal post-punk design","Interpol moving toward the same red-lit panel, black void around it, blurred lamps, minimal cinematic nightclub mood","Interpol inside a dark theater entrance, red rectangle radiating softly, white text in the corner, severe graphic style","Interpol watching the bright lights flatten into color, black space, red glow, quiet architectural tension","Interpol ending with a red stage panel in darkness, tiny bulbs, clean white type, moody post-punk finish","Interpol facing a black room with a glowing red marquee, small white lights, sparse typography, nocturnal post-punk design || Interpol moving toward the same red-lit panel, black void around it, blurred lamps, minimal cinematic nightclub mood || Interpol inside a dark theater entrance, red rectangle radiating softly, white text in the corner, severe graphic style || Interpol watching the bright lights flatten into color, black space, red glow, quiet architectural tension || Interpol ending with a red stage panel in darkness, tiny bulbs, clean white type, moody post-punk finish"
56,Rebellion (Lies),Funeral,Arcade Fire,Indie Rock,"Arcade Fire with a hand holding an ornate feather, peach paper, black ink border, vintage storybook indie style","Arcade Fire following the same curling feather lines, warm salmon background, pale hand, hand-drawn shadows, nostalgic illustration","Arcade Fire inside a fragile paper theater, decorative leaf shapes, muted browns and cream, handmade mourning-card mood","Arcade Fire watching the feather become a banner, sepia wash, black sketch lines, old letterpress atmosphere","Arcade Fire ending in a worn illustrated panel, peach tones, feather flourish, small dark type, tender funeral-card finish","Arcade Fire with a hand holding an ornate feather, peach paper, black ink border, vintage storybook indie style || Arcade Fire following the same curling feather lines, warm salmon background, pale hand, hand-drawn shadows, nostalgic illustration || Arcade Fire inside a fragile paper theater, decorative leaf shapes, muted browns and cream, handmade mourning-card mood || Arcade Fire watching the feather become a banner, sepia wash, black sketch lines, old letterpress atmosphere || Arcade Fire ending in a worn illustrated panel, peach tones, feather flourish, small dark type, tender funeral-card finish"
57,Wake Up,Funeral,Arcade Fire,Indie Rock,"Arcade Fire with a hand holding an ornate feather, peach paper, black ink border, vintage storybook indie style","Arcade Fire following the same curling feather lines, warm salmon background, pale hand, hand-drawn shadows, nostalgic illustration","Arcade Fire inside a fragile paper theater, decorative leaf shapes, muted browns and cream, handmade mourning-card mood","Arcade Fire watching the feather become a banner, sepia wash, black sketch lines, old letterpress atmosphere","Arcade Fire ending in a worn illustrated panel, peach tones, feather flourish, small dark type, tender funeral-card finish","Arcade Fire with a hand holding an ornate feather, peach paper, black ink border, vintage storybook indie style || Arcade Fire following the same curling feather lines, warm salmon background, pale hand, hand-drawn shadows, nostalgic illustration || Arcade Fire inside a fragile paper theater, decorative leaf shapes, muted browns and cream, handmade mourning-card mood || Arcade Fire watching the feather become a banner, sepia wash, black sketch lines, old letterpress atmosphere || Arcade Fire ending in a worn illustrated panel, peach tones, feather flourish, small dark type, tender funeral-card finish"
